filename,term_desc,asOfDate_str,default_page
.\Data\202710_18MAY2026_ProgramEnrollments.csv,Fall 2026,2026-05-18,Y
.\Data\202650_18MAY2026_ProgramEnrollments.csv,Summer 2026,2026-05-18,
.\Data\202710_17MAY2026_ProgramEnrollments.csv,Fall 2026,2026-05-17,
.\Data\202650_17MAY2026_ProgramEnrollments.csv,Summer 2026,2026-05-17,
.\Data\202710_16MAY2026_ProgramEnrollments.csv,Fall 2026,2026-05-16,
.\Data\202650_16MAY2026_ProgramEnrollments.csv,Summer 2026,2026-05-16,
.\Data\202710_15MAY2026_ProgramEnrollments.csv,Fall 2026,2026-05-15,
.\Data\202650_15MAY2026_ProgramEnrollments.csv,Summer 2026,2026-05-15,
.\Data\202710_14MAY2026_ProgramEnrollments.csv,Fall 2026,2026-05-14,
.\Data\202650_14MAY2026_ProgramEnrollments.csv,Summer 2026,2026-05-14,
