term,GRS,Campus,College,Department,Program,program_no,Residency,Student_Type,Race,URM,Level,service_region,state,county,class,learner_age,cohort,retained
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"American Indian or Alaskan Native, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,13,3
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Hardin,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Hopkins,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,6,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Freshman,14 <= Age <= 20,3,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Knott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Meade,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,25 <= Age <= 79,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Boone,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Bourbon,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Clark,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Floyd,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,1,0
